Index,Name,ActionCategory,ClassJob,BehaviourType,ClassJobLevel,IsRoleAction,Range,PrimaryCost{Type},PrimaryCost{Value},SecondaryCost{Type},SecondaryCost{Value},Action{Combo},PreservesCombo,Cast<100ms>,Recast<100ms>,CooldownGroup,AdditionalCooldownGroup,MaxCharges,AttackType,Aspect,ActionProcStatus,Status{GainSelf},ClassJobCategory,,AffectsPosition,Omen,IsPlayerAction
0,,0,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
1,Key Item,8,0,0,0,FALSE,3,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,0,FALSE
2,Interaction,8,0,0,0,FALSE,3,0,0,0,0,0,FALSE,50,0,0,0,0,0,0,0,0,1,FALSE,FALSE,0,FALSE
3,Sprint,10,0,0,0,FALSE,0,0,0,0,0,0,TRUE,0,600,56,0,0,0,0,0,0,1,FALSE,FALSE,0,FALSE
4,Mount,5,0,0,0,FALSE,0,0,0,0,0,0,FALSE,10,0,0,0,0,0,0,0,0,1,FALSE,FALSE,0,FALSE
5,Teleport,11,0,0,0,FALSE,0,0,0,0,0,0,FALSE,50,0,0,0,0,0,0,0,0,1,FALSE,FALSE,0,FALSE
6,Return,11,0,0,0,FALSE,0,0,0,0,0,0,FALSE,50,9000,57,0,0,0,0,0,0,1,FALSE,FALSE,0,FALSE
7,attack,1,0,0,0,FALSE,-1,0,0,0,0,0,TRUE,0,0,0,0,0,-1,7,0,0,1,FALSE,FALSE,0,FALSE
8,Shot,1,0,0,0,FALSE,-1,0,0,0,0,0,TRUE,0,0,0,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
9,Fast Blade,3,1,0,1,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,38,FALSE,FALSE,0,TRUE
10,Rampart,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,900,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
11,Savage Blade,3,-1,0,0,FALSE,-1,0,0,0,0,9,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
12,Convalescence,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,1200,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
13,Awareness,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,1200,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
14,Flash,2,-1,0,0,FALSE,0,3,8,0,0,0,TRUE,0,25,58,0,0,5,7,0,0,0,TRUE,FALSE,0,FALSE
