Job,ClassJobLevel,Name,Description,Cast,Cooldown
AST,0,Fall Malefic,"Deals unaspected damage with a potency of 5,000.",1.5,2.5
AST,0,Aspected Benefic,"Restores target's HP.
Cure Potency: 5,000
Potency increases up to 10,000 as the target's HP decreases, reaching its maximum value when the target has 50% HP or less.
Additional Effect: Grants Diurnal Benefic to target
Diurnal Benefic Effect: Gradually restores HP
Cure Potency: 2,000
Duration: 15s
Maximum Charges: 2
This action does not share a recast timer with any other actions.",0.0,15.0
AST,0,Gravity II,"Deals unaspected damage with a potency of 8,000 to target and all enemies nearby it.
Additional Effect: Afflicts first target with Heavy +75%
Duration: 5s
This action does not share a recast timer with any other actions.",0.0,15.0
AST,0,Double Cast,"Repeats the spell you previously cast.
Maximum Charges: 2
Can only be executed following a spell.",0.0,15.0
AST,0,Fall Malefic,"Deals unaspected damage with a potency of 5,000.
Additional Effect: Reduces the recast time of Double Cast by 10 seconds

※This action cannot be assigned to a hotbar.",0.0,15.0
AST,0,Aspected Benefic,"Restores target's HP.
Cure Potency: 5,000
Potency increases up to 10,000 as the target's HP decreases, reaching its maximum value when the target has 50% HP or less.
Additional Effect: Grants Nocturnal Benefic to target
Nocturnal Benefic Effect: Erects a magicked barrier which nullifies damage equivalent to a heal of 5,000 potency
Duration: 15s

※This action cannot be assigned to a hotbar.",0.0,15.0
AST,0,Gravity II,"Deals unaspected damage with a potency of 8,000 to target and all enemies nearby it.
Additional Effect: Afflicts first target with Bind
Duration: 3s

※This action cannot be assigned to a hotbar.",0.0,15.0
AST,0,Draw,"Draws the Balance, the Bole, or the Arrow from your divining deck.
Duration: 15s",0.0,20.0
AST,0,the Balance,"Increases damage dealt by self or target and all nearby party members by 10%.
Duration: 15s

※This action cannot be assigned to a hotbar.",0.0,1.0
AST,0,Macrocosmos,"Deals unaspected damage with a potency of 12,000 to all nearby enemies.
Additional Effect: Grants Macrocosmos to self and all nearby party members
Duration: 10s
Action changes to Microcosmos upon execution.
For the effect's duration, 25% of damage taken is compiled.
Restores HP equal to a cure of 4,000 potency plus compiled damage when the effect expires or upon execution of Microcosmos.",0.0,30.0
AST,0,Microcosmos,"Triggers the healing effect of Macrocosmos, restoring HP equal to a cure of 4,000 potency plus 25% of compiled damage.

※This action cannot be assigned to a hotbar.",0.0,1.0
AST,0,Celestial River,"Reduces damage dealt by nearby enemies by 30%. Effect is reduced by 10% every 5 seconds.
Duration: 15s
Additional Effect: Increases damage dealt by self and nearby party members by 30%. Effect is reduced by 10% every 5s.
Duration: 15s
Can only be executed when the limit gauge is full.
Gauge Charge Time: 105s",0.0,10.0
AST,0,the Bole,"Reduces damage taken by self or target and nearby party members by 10%.
Duration: 15s

※This action cannot be assigned to a hotbar.",0.0,1.0
AST,0,the Arrow,"Reduces weaponskill cast time and recast time, as well as spell cast time and recast time for self or target and nearby party members by 10%, while also increasing movement speed by 25%.
Duration: 15s

※This action cannot be assigned to a hotbar.",0.0,1.0
AST,1,Malefic,Deals unaspected damage with a potency of 150.,1.5,2.5
AST,2,Benefic,"Restores target's HP.
Cure Potency: 500/450/
Additional Effect: 15% chance next Benefic II will restore critical HP
Duration: 15s",1.5,2.5
AST,4,Combust,"Deals unaspected damage over time.
Potency: 50
Duration: 30s",0.0,2.5
AST,6,Lightspeed,"Reduces cast times for spells by 2.5 seconds.
Duration: 15s",0.0,120.0
AST,10,Helios,"Restores own HP and the HP of all nearby party members.
Cure Potency: 400/330",1.5,2.5
AST,12,Ascend,Resurrects target to a weakened state.,8.0,2.5
AST,15,Essential Dignity,"Restores target's HP.
Cure Potency: 400
Potency increases up to 900 as the target's HP decreases, reaching its maximum value when the target has 30% HP or less./
Maximum Charges: 3/2",0.0,40.0
AST,26,Benefic II,"Restores target's HP.
Cure Potency: 800/700",1.5,2.5
AST,30,Astral Draw,"Draws the Balance, the Arrow, the Spire, and the Lord of Crowns/and the Spire/and the Spire/ from your divining deck.
Additional Effect: Restores 20% of maximum MP
Upon execution, Play I changes to The Balance, Play II changes to The Arrow, Play III changes to The Spire/, Minor Arcana changes to Lord of Crowns/, and Astral Draw changes to Umbral Draw.
Shares a recast timer with Umbral Draw.",0.0,60.0
AST,30,Umbral Draw,"Draws the Spear, the Bole, the Ewer, and the Lady of Crowns/and the Ewer/and the Ewer/ from your divining deck.
Additional Effect: Restores 20% of maximum MP
Upon execution, Play I changes to The Spear, Play II changes to The Bole, Play III changes to The Ewer/, Minor Arcana changes to Lady of Crowns/, and Umbral Draw changes to Astral Draw.
Shares a recast timer with Astral Draw.

※This action cannot be assigned to a hotbar.
※Astral Draw changes to Umbral Draw when requirements for execution are met.",0.0,60.0
AST,30,Play I,"Plays the drawn arcanum after executing Astral Draw or Umbral Draw.
Astral Draw Effect: Action changes to The Balance
Umbral Draw Effect: Action changes to The Spear",0.0,1.0
AST,30,Play II,"Plays the drawn arcanum after executing Astral Draw or Umbral Draw.
Astral Draw Effect: Action changes to The Arrow
Umbral Draw Effect: Action changes to The Bole",0.0,1.0
AST,30,Play III,"Plays the drawn arcanum after executing Astral Draw or Umbral Draw.
Astral Draw Effect: Action changes to The Spire
Umbral Draw Effect: Action changes to The Ewer",0.0,1.0
AST,30,the Balance,"Increases damage dealt by a party member or self by 6% if target is melee DPS or tank, or 3% for all other roles.
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play I changes to The Balance when requirements for execution are met.",0.0,1.0
AST,30,the Arrow,"Increases HP recovery via healing actions for a party member or self by 10%.
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play II changes to The Arrow when requirements for execution are met.",0.0,1.0
