Index,Job,Name,Description,Cast,Cooldown
16557,AST,Horoscope,"Reads your fortune and those of nearby party members, granting them Horoscope.
Duration: 10s
Effect upgraded to Horoscope Helios upon receiving the effects of Helios or Helios Conjunction/Aspected Helios/Aspected Helios/.
Duration: 30s
Restores the HP of those under either effect when the cards are read a second time or the effect expires.
Horoscope Cure Potency: 200
Horoscope Helios Cure Potency: 400",0.0,60.0
3613,AST,Collective Unconscious,"Creates a celestial ring 8 yalms around the caster.
Duration: 18s
Additional Effect: Reduces damage taken by 10% for self and any party members within 30 yalms and applies Wheel of Fortune to self and any party members within 8 yalms
Duration: 5s
Wheel of Fortune Effect: Regen
Cure Potency: 100
Duration: 15s
Effects will be applied continuously to self and all party members standing within the celestial ring.
Collective Unconscious effect ends upon using another action or moving (including facing a different direction).
Cancels auto-attack upon execution.",0.0,60.0
3612,AST,Synastry,"Generate an aetheric bond with target party member. Each time you cast a single-target healing spell on yourself or a party member, the party member with whom you have the bond will also recover HP equaling 40% of the original spell.
Duration: 20s",0.0,120.0
3610,AST,Benefic II,"Restores target's HP.
Cure Potency: 800/700",1.5,2.5
3608,AST,Combust II,"Deals unaspected damage over time.
Potency: 60
Duration: 30s",0.0,2.5
3606,AST,Lightspeed,"Reduces cast times for spells by 2.5 seconds.
Duration: 15s",0.0,120.0
3603,AST,Ascend,Resurrects target to a weakened state.,8.0,2.5
3601,AST,Aspected Helios,"Restores own HP and the HP of all nearby party members.
Cure Potency: 250/200/
Additional Effect: Regen
Cure Potency: 150/100/
Duration: 15s",1.5,2.5
3600,AST,Helios,"Restores own HP and the HP of all nearby party members.
Cure Potency: 400/330",1.5,2.5
3599,AST,Combust,"Deals unaspected damage over time.
Potency: 50
Duration: 30s",0.0,2.5
3598,AST,Malefic II,Deals unaspected damage with a potency of 160.,1.5,2.5
3596,AST,Malefic,Deals unaspected damage with a potency of 150.,1.5,2.5
3594,AST,Benefic,"Restores target's HP.
Cure Potency: 500/450/
Additional Effect: 15% chance next Benefic II will restore critical HP
Duration: 15s",1.5,2.5
